#{"t_start": 1767566401.1789927, "env_id": null}
r,l,t
-1010.566025,47,18.912035
-808.217493,40,18.931983
-908.033349,35,18.948938
-1007.974335,54,20.023064
-1009.029088,37,20.049992
-906.057125,37,20.074924
-1007.418876,50,20.105841
-1008.7658,52,20.14773
-1009.224156,38,20.168674
-1006.442275,32,20.189617
-907.127091,31,20.211559
-1008.617628,35,20.228522
-1007.882399,46,20.251462
-1010.178546,44,20.274855
-1009.736277,44,20.2978
-1009.121424,38,20.316743
-1005.799919,34,20.334701
-909.964644,48,20.358641
-1010.20922,43,20.38607
-1008.65207,46,20.409011
-1009.422729,36,20.42793
-1008.818667,51,20.453889
-1008.935526,34,20.469846
-1009.814249,43,20.49179
-1007.827125,45,20.514726
-1009.986618,40,20.53567
-1017.413558,74,20.572571
-1014.933575,59,20.601494
-1008.140371,33,20.618706
-1013.924643,57,20.653586
-1007.886004,36,20.670601
-1008.59743,37,20.689623
-1006.97457,35,20.707597
-1011.161173,41,20.728667
-907.570717,39,20.748676
-1008.763422,39,20.768639
-1008.429929,36,20.787607
-1008.367336,42,20.808671
-906.43288,40,20.828678
-907.100516,49,20.85361
-1011.689959,70,20.896563
-906.891961,30,20.911592
-1009.280039,37,20.929604
-1009.588697,42,20.949612
-1008.653426,67,20.983617
-1013.784549,48,21.007625
-1007.793996,44,21.029664
-1008.984693,43,21.051635
-1009.609459,47,21.075635
-905.7893,40,21.095616
-1010.456554,48,22.158438
-908.542439,36,22.181374
-1006.215385,35,22.199327
-1008.118509,29,22.217279
-1007.569941,34,22.238433
-1009.697547,35,22.25735
-1009.871388,35,22.282352
-1007.24699,45,22.309426
-1009.951244,37,22.33336
-1008.167842,34,22.350315
-1008.128267,46,22.373254
-907.79719,42,22.400274
-1007.740879,57,22.428309
-1008.470144,36,22.446286
-906.707128,34,22.463303
-1007.748033,59,22.494313
-1007.649328,36,22.513328
-1007.608938,39,22.532593
-1007.007166,33,22.549614
-1009.788277,59,22.580625
-1009.100505,33,22.597611
-1007.50376,51,22.623606
-1009.278075,44,22.653588
-1006.286746,34,22.670612
-1008.078312,61,22.701622
-1006.281287,35,22.718619
-1008.848719,38,22.737562
-1007.396454,41,22.758637
-1014.82422,50,22.784592
-1008.060409,33,22.801608
-906.904646,42,22.823613
-1007.527967,44,22.845627
-1010.544795,63,22.883615
-1009.756524,45,22.906561
-910.873626,48,22.931506
-1006.642437,38,22.95146
-1009.312395,37,22.97044
-1007.155803,32,22.986433
-1007.773012,40,23.006445
-1010.609612,49,23.031471
-907.177135,51,23.057472
-1006.493193,37,23.076456
-1013.546314,50,23.101504
-1007.922139,32,23.117469
-908.416445,58,23.153461
-1008.20905,44,23.176378
-1008.402443,37,23.195334
-1013.287218,60,23.225265
-1008.363342,36,23.244221
-1008.297158,41,24.264398
-805.662318,36,24.287335
-1012.90684,71,24.334211
-1012.855917,53,24.373106
-1006.179246,30,24.395047
-1014.015534,58,24.424968
-1006.906121,45,24.451895
-1007.43078,38,24.471842
-1006.966909,36,24.489799
-1013.01717,48,24.514781
-1008.007302,34,24.532746
-1006.931836,33,24.549451
-1009.81458,52,24.57638
-1007.799588,36,24.594331
-1014.437251,54,24.62226
-1009.229412,48,24.653175
-907.404176,35,24.671097
-1011.202767,44,24.69307
-1007.89748,52,24.718999
-1008.902891,44,24.74094
-1008.205263,37,24.758341
-1013.110468,49,24.783303
-1008.63157,53,24.81023
-1007.713235,32,24.825161
-1008.048406,48,24.849693
-1005.310823,35,24.866646
-1010.143767,36,24.890556
-1007.366232,39,24.909535
-1007.113793,42,24.931446
-1008.244263,50,24.956884
-906.23006,29,24.971844
-907.221633,45,24.993786
-1005.215505,35,25.011738
-1009.419339,53,25.039664
-1008.068684,35,25.058125
-1007.905398,41,25.079069
-1015.256456,50,25.105997
-907.578424,35,25.124946
-1008.31589,40,25.152383
-1010.332827,37,25.173327
-1010.853438,45,25.196266
-1006.18263,42,25.218207
-906.911822,48,25.24314
-1007.246879,37,25.262089
-1011.012977,48,25.287022
-1009.274612,41,25.307967
-1007.988715,41,25.328911
-1008.025463,56,25.357833
-1007.625133,51,26.370568
-1007.404237,42,26.401032
-1008.494582,36,26.421975
-912.860993,44,26.452893
-1007.4391,55,26.481816
-1007.978693,38,26.500772
-1008.680043,36,26.523712
-1005.656513,35,26.541664
-910.538025,43,26.564401
-1009.068443,40,26.585343
-1010.481477,58,26.615268
-1010.109938,37,26.63521
-1011.76151,47,26.665132
-910.154777,52,26.692059
-1009.099093,42,26.712004
-1006.533399,33,26.728989
-1006.573116,41,26.749994
-1010.955352,37,26.767978
-1007.31121,39,26.788023
-1008.983633,92,26.833991
-1006.037097,36,26.852975
-907.46382,43,26.874951
-1007.597471,46,26.907137
-1008.269729,40,26.92811
-1011.15361,41,26.949056
-1012.719936,59,26.979974
-1007.564357,51,27.005902
-1010.321899,39,27.026846
-1009.23629,63,27.05876
-1010.904136,60,27.089677
-1006.331721,37,27.108627
-1008.235876,29,27.122598
-1008.751007,56,27.157467
-908.697673,43,27.178411
-1010.092342,39,27.198358
-1008.578315,36,27.21631
-1009.10211,40,27.235259
-905.941339,38,27.254209
-1008.290146,38,27.272161
-1006.84821,36,27.294102
-1006.381571,41,27.315046
-1008.100955,55,27.341974
-1009.262922,36,27.358928
-1007.342134,35,27.375888
-1008.226869,47,27.404877
-1011.193741,48,27.428847
-805.906629,38,28.492757
-1016.833219,61,28.528692
-1007.237914,33,28.552631
-1010.423318,50,28.588721
-1005.858181,32,28.606814
-1010.125569,43,28.627819
-919.656075,62,28.657842
-1008.090983,50,28.69082
-1006.885406,50,28.715817
-1007.572848,40,28.736828
-1007.393753,49,28.761845
-1006.157771,39,28.781857
-1010.170521,37,28.799842
-906.651794,35,28.817823
-1006.772153,40,28.838892
-1005.702845,37,28.857841
-1008.87205,36,28.875792
-807.28071,49,28.900738
-1010.295465,47,28.930664
-1012.381283,48,28.954956
-910.784077,45,28.978942
-1013.104701,91,29.025807
-1008.901775,35,29.043766
-1009.721529,40,29.06372
-907.904934,41,29.084733
-907.604357,55,29.113778
-1009.980915,54,29.1398
-1007.003679,40,29.160774
-907.434242,35,29.184741
-1009.993432,56,29.2127
-1007.340704,36,29.230652
-1011.448696,42,29.251596
-1009.95994,41,29.270545
-1007.201261,37,29.289072
-1009.426407,52,29.314965
-1016.056928,62,29.344884
-1006.918614,46,29.367794
-1014.049851,51,29.392239
-1007.192781,38,29.411188
-1007.511417,46,29.440139
-1006.697384,47,29.464075
-1006.820461,39,29.483025
-1011.763935,64,29.514504
-1010.977333,67,29.548403
-1009.64462,53,30.640463
-1018.411761,54,30.668387
-1005.275639,46,30.701299
-907.016866,32,30.724241
-1011.796421,40,30.748182
-1007.513498,42,30.772122
-908.10184,51,30.798052
-1016.848838,66,30.831964
-1009.425971,51,30.857924
-1010.72159,38,30.878929
-806.600763,34,30.896921
-1013.949616,66,30.936912
-1007.144841,40,30.957885
-1008.69013,46,30.98182
-1012.689863,47,31.005727
-1005.503141,45,31.028667
-1010.120723,47,31.052114
-906.710294,42,31.074086
-1008.509794,53,31.100017
-1007.484634,39,31.119961
-905.72684,39,31.140474
-1007.421134,43,31.160419
-810.815281,52,31.194328
-1005.763091,35,31.21228
-808.426156,49,31.237213
-1007.452638,33,31.254736
-1008.074623,32,31.270696
-1008.082542,54,31.298594
-909.613026,51,31.323552
-1006.95298,42,31.345498
-908.203993,79,31.385387
-1006.691052,37,31.404336
-1014.809803,54,31.438217
-1010.197167,54,31.465145
-1008.82182,56,31.492104
-1005.958081,33,31.508061
-1008.508825,47,31.531994
-1007.860381,45,31.554933
-1005.600293,38,31.575886
-1006.785859,31,31.591806
-1009.230194,54,31.618734
-1005.763352,35,31.63672
-1009.574289,31,31.65268
-1010.157882,40,31.673615
-914.456776,69,31.713509
-1008.877662,34,32.804434
-1008.679069,46,32.832467
-1008.734683,35,32.850419
-910.851012,66,32.888405
-1009.751549,54,32.917418
-1014.600991,50,32.952518
-1009.359696,37,32.972466
-1006.954033,37,32.99142
-1008.402621,46,33.014446
-1016.707703,64,33.04645
-1007.888129,34,33.063476
-905.014006,40,33.085445
-908.288859,35,33.102489
-1007.837917,35,33.120503
-1008.701441,57,33.149582
-1008.520659,39,33.168571
-1009.916048,74,33.210518
-1008.228011,39,33.229468
-1008.865274,38,33.248446
-1009.162322,32,33.264403
-1017.189368,55,33.293327
-1010.221608,40,33.314301
-905.464839,38,33.333251
-1008.087836,33,33.351173
-1007.932689,44,33.373116
-1008.719923,33,33.39007
-1014.405899,65,33.421984
-908.333092,37,33.439937
-1006.730612,42,33.46789
-1011.565386,51,33.49382
-1007.419078,41,33.515737
-908.382762,41,33.53671
-1011.605088,47,33.560645
-1016.341115,66,33.593557
-1010.097055,44,33.616495
-1014.024861,50,33.641431
-1007.538699,61,33.672346
-1009.180464,46,33.701268
-1008.495716,44,33.723774
-1009.903413,53,33.749704
-1008.594568,50,33.774641
-1006.136842,46,33.797578
-806.353419,41,33.818521
-1013.533288,58,33.847442
-910.158681,50,34.895926
-907.676356,33,34.91687
-1006.598386,36,34.934822
-1007.776739,42,34.968738
-1007.586242,57,35.002648
-1011.717331,45,35.028579
-1009.102444,39,35.052515
-1013.158658,76,35.095401
-1007.369144,49,35.121331
-1009.912416,45,35.1443
-1010.618177,52,35.170231
-1009.16092,35,35.188181
-1006.863255,62,35.226051
-812.015525,52,35.252011
-1007.288091,41,35.273952
-1010.788302,55,35.299882
-1008.395811,61,35.329823
-1009.638001,31,35.345784
-1008.547159,39,35.365697
-1008.931048,32,35.382679
-1009.877942,43,35.405588
-1009.002015,43,35.427552
-1007.946746,33,35.445508
-1006.595478,38,35.469475
-1010.4498,36,35.489415
-1009.372187,44,35.511356
-1007.157813,43,35.534295
-1006.573904,45,35.556801
-1006.83111,38,35.576719
-911.347064,40,35.597698
-918.376109,57,35.626611
-920.803985,77,35.666082
-1006.924833,38,35.685022
