#{"t_start": 1767731762.567345, "env_id": null}
r,l,t
-913.787151,79,16.781941
-866.335844,183,16.831691
-823.780691,108,16.861311
359.381332,240,16.926622
-631.724001,215,16.986702
-940.973865,196,17.038056
-915.165297,55,17.053037
-935.255866,138,17.090239
-818.205722,75,17.110161
154.62647,240,17.173736
-614.390178,110,17.202988
-1014.139769,62,17.21996
-910.811823,56,17.236763
156.802025,240,17.302612
-813.381128,85,17.325702
-740.43727,234,17.390867
579.788869,240,17.458256
-626.05946,149,17.500546
-819.542905,70,17.520011
-808.55231,57,17.539465
-912.583927,72,17.560904
-914.62886,62,17.579282
-917.337722,65,17.597055
-919.024569,82,17.618542
-919.812888,99,17.646841
-646.05071,224,17.705422
-914.84633,75,17.725631
-918.497566,87,17.747772
574.841719,240,17.810267
347.361098,240,17.874639
-1023.887745,66,17.894982
-935.135298,161,17.937481
-824.057087,99,17.963392
-1012.1064,56,17.976648
557.479115,240,18.039397
-822.140161,105,18.072078
-918.10076,80,18.095276
-911.059597,120,18.126982
-1007.312286,39,18.137601
-1063.180895,179,18.187442
283.033397,240,18.250339
167.630995,240,18.315353
-924.050871,84,18.33631
-934.685304,184,18.382548
489.292714,240,18.449784
-832.066289,171,18.497259
269.494473,240,18.56017
-928.286543,186,18.611768
-916.317666,64,18.629704
-810.432378,96,18.655876
-751.182252,169,18.701071
-54.721254,240,18.766036
66.097885,240,18.831522
-917.071436,145,18.868251
361.74656,240,18.930891
-730.7686,222,18.993161
-908.217951,54,19.006374
-827.267799,168,19.053787
-912.989061,69,19.073565
-948.850764,229,19.138332
-913.866477,66,19.158617
-917.120758,140,19.197434
-841.84756,216,19.257851
-818.78717,75,19.276211
473.425795,240,19.340083
-937.176046,123,19.375125
-919.642019,97,19.398981
-832.991063,100,19.425303
-917.955429,126,19.459556
275.391265,240,19.522567
776.168946,240,19.58606
682.864948,240,19.648557
-926.534155,152,19.690902
475.246018,240,19.763473
155.250528,240,19.828622
-740.781139,195,19.881529
137.380639,240,19.947417
-713.479425,123,19.979099
-928.813212,93,20.005536
777.62549,240,20.07291
-824.880266,125,20.108183
155.75364,240,20.173078
365.090656,240,20.239049
375.378619,240,20.311801
-718.280517,141,20.350184
465.510681,240,20.413958
-326.641224,210,20.473205
664.635076,240,20.537225
-814.222032,79,20.559315
574.589691,240,20.623145
-911.038976,67,20.640122
-723.484312,173,20.6861
368.639442,240,20.751168
665.866902,240,20.817835
357.239164,240,20.881448
365.844891,240,20.945357
479.933127,240,21.009221
563.626634,240,21.075446
459.874303,240,21.140225
-922.894602,89,21.163777
374.819287,240,21.225766
768.715557,240,21.288317
50.494748,240,21.354067
-919.688561,77,21.375897
-717.682744,109,21.404336
477.887383,240,21.469228
-833.886734,146,21.510439
576.951421,240,21.57446
-728.266885,85,21.595989
470.904543,240,21.659206
-635.55861,234,21.724546
