#{"t_start": 1767471139.7605793, "env_id": null}
r,l,t
-1007.299456,37,21.548087
-1007.587062,35,21.616902
-806.928527,32,21.659787
-1009.387564,34,21.724619
-1007.758631,36,21.791042
-907.770752,38,21.871826
-1009.187029,33,21.923688
-1006.842113,40,21.982402
-1008.378054,33,22.037799
-1006.935226,41,22.114118
-1008.709008,32,22.170967
-908.682844,36,22.225819
-906.652628,36,22.275692
-1009.570877,35,22.340168
-1006.047379,35,22.403995
-1006.64796,38,22.459847
-907.126427,37,22.517781
-806.57887,34,22.571156
-1007.355187,38,22.641966
-1008.305069,36,22.693827
-1007.130727,36,22.787862
-1008.886663,35,23.19528
-807.433523,36,23.388283
-1009.300552,33,23.616182
-1009.985716,37,24.177206
-1009.237665,37,24.542244
-907.899213,32,24.674889
-1006.409637,42,24.778611
-1009.49123,38,24.868372
-906.049399,39,24.959129
-1009.009584,36,25.025459
-1008.498343,36,25.099167
-906.763047,39,25.188273
-1007.975054,34,25.245124
-1007.401811,35,25.296096
-1007.294943,37,25.350465
-1008.408224,33,25.411302
-907.033032,33,25.46616
-1010.549341,35,25.535493
-1007.232595,34,25.596342
-906.915527,36,25.664087
-1008.827104,33,25.719263
-1008.609249,35,25.782095
-907.461024,36,25.845924
-1009.592768,31,25.901774
-1007.37367,35,25.964179
-1007.238469,37,26.025968
-908.094947,37,26.080353
-907.224578,31,26.138197
-1006.861714,37,26.219979
-1008.741062,34,26.285808
-1008.049803,37,26.339664
-1009.135168,36,26.403399
-1008.675574,35,26.468429
-1006.127607,32,26.516194
-1008.532265,37,26.574552
-1009.350442,33,26.645362
-807.28186,35,26.700222
-1009.811926,33,26.753545
-1007.516346,38,26.81239
-1009.641456,38,26.867248
-1009.408234,36,26.931081
-1009.352784,34,26.973475
-908.07381,38,27.039305
-906.524401,33,27.088407
-1007.918961,40,27.158225
-1006.830525,35,27.211088
-908.585394,39,27.278235
-1006.563441,35,27.328102
-1007.132978,34,27.389752
-1006.901638,41,27.446666
