#{"t_start": 1767693697.8165314, "env_id": null}
r,l,t
-1007.21729,28,17.251743
-1007.089427,35,17.282691
-1012.282026,44,17.322553
-1009.150183,42,17.355464
-1008.801537,34,17.388369
-1007.383422,39,17.421418
-1007.951984,28,17.438275
-1007.450313,28,17.46638
-907.228121,34,17.487323
-808.532507,38,17.517496
-1010.115602,38,17.545415
-1008.37105,30,17.566416
-1007.193196,34,17.589354
-1008.952631,46,17.630406
-806.071663,35,17.654427
-1005.849411,34,17.679359
-1007.524397,30,17.703295
-1007.947486,42,17.730341
-1007.163407,37,17.751439
-1006.498085,35,17.776374
-1009.32511,36,17.801445
-1006.598054,36,17.825512
-1009.075062,35,17.848489
-1007.609647,46,17.883395
-1009.704172,38,17.912447
-1008.074485,36,17.940428
-1006.730804,37,17.963479
-1008.630613,42,17.998523
-1008.71033,33,18.017534
-1006.570308,32,18.045535
-1006.459471,38,18.07645
-1013.355496,44,18.111466
-1007.253959,40,18.148505
-1012.175388,44,18.182499
-907.876959,33,18.204555
-1008.549775,32,18.229484
-1008.950685,30,18.252423
-1007.541184,40,18.289544
-1010.254882,39,18.32148
-1005.699897,32,18.343476
-1008.654212,35,18.369462
-1007.939731,38,18.394558
-1007.511221,41,18.422512
-1009.677853,36,18.446557
-907.102461,31,18.469495
-1007.847101,43,18.504539
-1005.829391,30,18.531468
-1009.490267,32,18.560664
-1007.729541,36,18.586457
-1012.391198,47,18.621499
-1010.000487,37,18.647513
-1008.721092,34,18.66757
-1008.329159,27,18.68649
-1007.568349,31,18.70544
-1007.285119,34,18.732589
-1008.462679,35,18.76052
-908.215476,35,18.784448
-905.988184,29,18.810295
-1007.657329,34,18.838219
-1007.133451,37,18.865147
-1005.812215,31,18.892128
-906.911384,32,18.922425
-1008.38237,31,18.943433
-1010.777729,41,18.973488
-908.912933,31,18.998534
-1006.058467,35,19.021472
-1007.661501,29,19.039532
-1008.05602,45,19.073467
-1007.357456,33,19.098512
-1008.666642,32,19.122532
-908.833851,43,19.152593
-1007.852734,33,19.174534
-1008.174393,30,19.201622
-1005.976626,31,19.222622
-1008.323598,31,19.252539
-1009.041761,36,19.277526
-1009.489789,37,19.300667
-908.898593,33,19.32559
-1009.334955,40,19.350608
-908.365855,34,19.375571
-908.02754,39,19.406593
-1006.750751,33,19.428564
-1006.858844,40,19.459533
-1007.231689,37,19.483639
-1006.038053,38,19.508568
-1010.414753,42,19.536546
-1008.493364,32,19.569515
-1007.589502,32,19.596587
-1009.062438,29,19.614557
-1008.595662,45,19.645614
-808.162813,37,19.674647
-906.066194,33,19.701666
-1008.555835,38,19.731657
-1009.707617,41,19.758557
-907.029166,32,19.777593
-1006.830513,33,19.799555
-1007.748714,33,19.827507
-1009.834866,41,19.855569
-909.188596,35,19.880558
-1011.284787,40,19.91066
-1013.320185,46,19.94658
-1007.341636,35,19.968624
-908.759886,36,19.996549
-907.222052,47,20.030459
-1009.027348,37,20.054394
-1011.111661,45,20.092664
-1009.39705,35,20.113569
-1008.544581,34,20.136559
-1007.999414,40,20.161687
-1009.309081,39,20.186582
-1009.272962,34,20.214598
-1009.063331,33,20.233546
-1008.087359,27,20.251663
-1007.156951,30,20.276661
-908.073662,28,20.29768
-1007.864444,30,20.315682
-1008.818667,32,20.338677
-1007.445025,37,20.371701
-1009.512549,34,20.400624
-1007.653217,30,20.427669
-1008.066473,30,20.4477
-1008.750422,33,20.478574
-1008.746218,34,20.502649
-1009.226342,33,20.522595
-907.453771,38,20.547611
-1010.38312,37,20.577668
-1010.240012,38,20.606561
-1009.289009,37,20.634624
-1007.787481,29,20.653574
-1006.435407,43,20.689613
-1007.034186,39,20.715543
-1007.975447,35,20.743606
-1008.338751,43,20.775716
-1008.051753,26,20.795693
-1008.91042,35,20.820679
-1008.786982,28,20.842701
-1006.565432,35,20.863673
-1005.970163,33,20.890601
-1006.236021,32,20.912735
-1007.939112,37,20.938699
-908.43923,34,20.964646
-1007.326913,36,20.987585
-1006.237124,33,21.010785
-1009.333666,36,21.038726
-1009.25866,45,21.068728
-1005.906699,32,21.087731
-1008.101087,34,21.119697
-1008.276955,46,21.157738
-1006.583532,32,21.179673
-1006.638739,32,21.202754
-1008.794772,31,21.220706
